192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icon.css HTTP/1.1" 304 -
192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/js/jquery.cookie.js HTTP/1.1" 304 -
192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/easyui.css HTTP/1.1" 304 -
192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/js/jquery-easyui-1.4.5/jquery.easyui.min.js HTTP/1.1" 304 -
192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/css/common.css HTTP/1.1" 304 -
192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/js/util.js HTTP/1.1" 304 -
192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/js/jquery-easyui-1.4.5/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/reload.png HTTP/1.1" 304 -
192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/man.png HTTP/1.1" 304 -
192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/default/images/blank.gif HTTP/1.1" 304 -
192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/img/imgCode.do?random=0.47937243824054176 HTTP/1.1" 200 1641
192.168.1.6 - - [14/Jun/2018:13:42:54 +0800] "GET /ssi/js/jquery-easyui-1.4.5/themes/icons/lock.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:55 +0800] "POST /ssi/settings/settingAuto/add.do HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [14/Jun/2018:13:42:55 +0800] "POST /ssi/settings/settingAuto/datagrid.do HTTP/1.1" 200 440
192.168.1.6 - - [14/Jun/2018:13:42:55 +0800] "POST /ssi/img/loadImgCode.do HTTP/1.1" 200 4
